beer_id,abv,external_brewery_id,ibu,external_beer_id,name,ounces,style
f48f4e1d-0cf9-4a88-8945-f74694304ca3,0.078,369,74,1382,Crank Yanker IPA,16,American IPA
686d0333-9041-4f1a-a5e9-bcd724478339,0.06,369,,1110,River Runners Pale Ale,16,American Pale Ale (APA)
cfd1e1ea-bfd1-41fa-ad6b-aa7e74eb0aed,0.05,369,,1014,Pumpkin Patch Ale (2012),16,Pumpkin Ale
18eb7eb7-0199-4bd8-b7d7-2598f63c0574,0.055,369,,911,Mountain Fairy Raspberry Wheat,16,Fruit / Vegetable Beer
72af2c13-dc6f-42c0-805a-660594415bf5,0.045,369,,680,Boater Beer,16,German Pilsener
a2abdec1-0965-4a67-bdeb-968ccb68f3dc,0.078,369,74,395,Crank Yanker IPA (2011),16,American IPA
b0e2710a-e264-4161-b98e-3eb7c3294140,0.057,352,,1642,Bleeding Buckeye Red Ale,16,Extra Special / Strong Bitter (ESB)
0ad56dac-fed6-4679-a672-8d53acc14913,0.049,516,25,673,Dottie Seattle Lager,16,American Amber / Red Lager
c88ed218-5f39-4ef6-bb58-d1accf69555c,0.07,465,,1107,Nut Sack Imperial Brown Ale,12,American Brown Ale
f394190e-56fa-40b9-927a-09844de86646,0.05,473,,1039,Underachiever,16,American Adjunct Lager
73877c8a-6c24-4d9b-a420-7ffb73ca9a62,0.052,81,,2477,Lil' Brainless Raspberries,12,Fruit / Vegetable Beer
956cf3af-3274-4772-b885-0f8079a188c7,0.052,81,,2008,Element 29,12,American Pale Ale (APA)
d5b4d1a1-5f5a-461a-8705-f7285ae7cf35,0.05,81,,2004,Hop Syndrome,12,American Pale Lager
88b1594b-5021-49da-923a-93903f517dca,0.062,81,,2003,Escape to Colorado,12,American IPA
589a2ef8-65c9-4d01-a5a6-5dc82af1cc49,0.043,170,60,2292,Little Sister India Style Session Ale,12,American IPA
5cd98446-aac2-4225-8ed4-c32e1cd139ec,0.062,170,80,1504,Country Boy IPA,12,American IPA
031c2453-424c-4430-a150-c823cc20eb00,0.049,26,23,2604,Blonde Czich,16,American Blonde Ale
6229c96d-0c61-4ddc-85d5-ccd322f2ee91,0.07,26,61,2432,White Reaper,16,Belgian IPA
e7a5f910-bbcf-48e8-b7a0-dc1a367e924b,0.051,26,,2431,Bobblehead,16,American Pale Wheat Ale
a325e2cf-20f6-4cd9-b28c-3f5e89208e96,0.052,26,,2430,Lucky Dog,16,American Pale Ale (APA)
1095e435-1c6e-4328-901c-2ec9b828564a,0.048,26,,2429,Voodoo,16,American Porter
651a89d7-7431-4fc3-b1e9-b1d36478657f,0.054,26,48,1967,General George Patton Pilsner,16,Czech Pilsener
12948236-5a43-4477-9825-0a10f2440c7b,0.04,173,,2283,Nomader Weiss,12,Berliner Weissbier
654e97fd-1067-458c-8b48-2a9da6676fff,0.085,173,,2248,Molotov Lite,16,American Double / Imperial IPA
728926f7-0d80-48fb-94fe-3f1de31389fc,0.055,173,,1287,Hipster Ale (Two Roads Brewing),12,American Pale Ale (APA)
5509cac9-b0e7-41b6-b73b-6c8f1aacd3fa,0.027,173,,1286,Bikini Beer,12,American IPA
7f2ae2ef-c889-4d67-bc93-b93c308e18b9,0.055,173,,640,Hipster Ale (Westbrook Brewing),12,American Pale Ale (APA)
