beer_id,abv,brewery_uuid,ibu,name,ounces,style
095734c5-568d-4b71-81c0-5a437cc3f727,0.057,55bbdf14-e891-4572-9ed2-9c6bf25edda9,13,Barney Flats Oatmeal Stout,12,Oatmeal Stout
833f39c1-efd6-4d61-98a0-24ddc31d33a3,0.055,55bbdf14-e891-4572-9ed2-9c6bf25edda9,25,El Steinber Dark Lager,16,Vienna Lager
1d13514d-cd04-4347-ac4f-23aa3918cfc3,0.0579999999999999,55bbdf14-e891-4572-9ed2-9c6bf25edda9,15,Boont Amber Ale (2010),12,American Amber / Red Ale
d99d65c2-dd75-4fc8-ab6b-a30dc0bd0d59,0.0559999999999999,55bbdf14-e891-4572-9ed2-9c6bf25edda9,4,Summer Solstice Cerveza Crema (2009),12,Cream Ale
0e719c25-87bd-4d2e-b3e0-3bbc6aaf4670,0.057,55bbdf14-e891-4572-9ed2-9c6bf25edda9,13,Barney Flats Oatmeal Stout (2012),12,Oatmeal Stout
40194a92-e634-4cfe-b0d2-e1f0576db209,0.069,55bbdf14-e891-4572-9ed2-9c6bf25edda9,6,Winter Solstice,12,Winter Warmer
233dd195-397f-4e61-bf79-ffcd047ae27a,0.07,55bbdf14-e891-4572-9ed2-9c6bf25edda9,80,Hop Ottin' IPA (2011),12,American IPA
c2c380b7-9228-48c1-8bb1-b461cf61f1c9,0.0579999999999999,55bbdf14-e891-4572-9ed2-9c6bf25edda9,15,Boont Amber Ale (2011),12,American Amber / Red Ale
321be708-8359-4fe0-b041-720e7ad5fa6b,0.0559999999999999,55bbdf14-e891-4572-9ed2-9c6bf25edda9,4,Summer Solstice (2011),12,Cream Ale
c560748f-5bdc-4bfc-8d0e-df597ad6c1d0,0.055,55bbdf14-e891-4572-9ed2-9c6bf25edda9,28,Poleeko Gold Pale Ale (2009),12,American Pale Ale (APA)
36feabb5-8f98-4952-8fb6-6cfab99af1fe,0.068,325d44c0-53fb-4991-a694-659ac9f89fa9,,Golden One,12,Belgian Pale Ale
89bc6412-00c5-460b-b0db-ebb89798093d,0.06,325d44c0-53fb-4991-a694-659ac9f89fa9,,Arjuna,12,Witbier
ac705ab7-eeb2-40f4-a9c5-48396fb6c066,0.085,325d44c0-53fb-4991-a694-659ac9f89fa9,,Uroboros,12,American Stout
f210ecf6-9612-4884-a174-5d6ed1cb6f8e,0.06,43aa2e45-0b2a-473f-8696-7b9f63040279,55,Sky High Rye,12,American Pale Ale (APA)
6ea9937d-14ec-478c-b3ca-6b8b32ee527f,0.062,43aa2e45-0b2a-473f-8696-7b9f63040279,17,Whitsun,12,American Pale Wheat Ale
