abv,ibu,id,name,style,brewery_id,ounces,breweryUuid
0.055,12.0,2502,Vanilla Java Porter,American Porter,72,16.0,efdc475f-8e3c-42f7-8e69-7d5fda684097
0.052,,2495,Michelada,Fruit / Vegetable Beer,72,16.0,efdc475f-8e3c-42f7-8e69-7d5fda684097
0.045,8.0,534,Dirty Blonde Ale,American Blonde Ale,72,12.0,efdc475f-8e3c-42f7-8e69-7d5fda684097
0.05,62.0,528,Grand Circus IPA,American IPA,72,12.0,efdc475f-8e3c-42f7-8e69-7d5fda684097
0.05,12.0,527,Atwater's Lager,Munich Helles Lager,72,12.0,efdc475f-8e3c-42f7-8e69-7d5fda684097
0.07,,1409,Heavy Machinery IPA Series #1: Heavy Fist,American Black Ale,413,16.0,9a280fbb-adee-484a-876b-50e71235a711
0.062,,343,Fire Eagle IPA,American IPA,413,12.0,9a280fbb-adee-484a-876b-50e71235a711
0.051,,342,Peacemaker,American Pale Ale (APA),413,12.0,9a280fbb-adee-484a-876b-50e71235a711
0.053,,341,Pearl-Snap,German Pilsener,413,12.0,9a280fbb-adee-484a-876b-50e71235a711
0.052,,340,Black Thunder,Schwarzbier,413,12.0,9a280fbb-adee-484a-876b-50e71235a711
0.08,,2589,Raja,American Double / Imperial IPA,37,12.0,b0b2d8dd-742f-40ab-8b17-fb335084e5bd
0.064,,2546,Perzik Saison,Saison / Farmhouse Ale,37,12.0,b0b2d8dd-742f-40ab-8b17-fb335084e5bd
0.047,42.0,146,Avery Joe’s Premium American Pilsner,German Pilsener,37,12.0,b0b2d8dd-742f-40ab-8b17-fb335084e5bd
0.0559999999999999,10.0,108,White Rascal,Witbier,37,12.0,b0b2d8dd-742f-40ab-8b17-fb335084e5bd
0.063,69.0,107,Avery India Pale Ale,American IPA,37,12.0,b0b2d8dd-742f-40ab-8b17-fb335084e5bd
0.055,17.0,106,Ellie’s Brown Ale,American Brown Ale,37,12.0,b0b2d8dd-742f-40ab-8b17-fb335084e5bd
0.062,17.0,1620,Pumpkin Beast,Pumpkin Ale,360,12.0,7006a17a-74da-497a-ba35-2338c7efbb25
0.072,22.0,1579,OktoberBeast,Märzen / Oktoberfest,360,12.0,7006a17a-74da-497a-ba35-2338c7efbb25
0.048,23.0,1228,Mad Beach,American Pale Wheat Ale,360,12.0,7006a17a-74da-497a-ba35-2338c7efbb25
0.067,,705,Hog Wild India Pale Ale,American IPA,360,12.0,7006a17a-74da-497a-ba35-2338c7efbb25
0.092,5.0,704,Devils Tramping Ground Tripel,Tripel,360,12.0,7006a17a-74da-497a-ba35-2338c7efbb25
0.061,41.0,702,Hot Rod Red,American Amber / Red Ale,360,12.0,7006a17a-74da-497a-ba35-2338c7efbb25
0.086,,2058,Palate Mallet,American Double / Imperial IPA,235,12.0,c8160b2b-3e43-4db3-bbd8-32f07a0a0060
0.06,,1483,Back East Porter,American Porter,235,12.0,c8160b2b-3e43-4db3-bbd8-32f07a0a0060
0.049,,1426,Back East Golden Ale,American Blonde Ale,235,12.0,c8160b2b-3e43-4db3-bbd8-32f07a0a0060
0.07,,1132,Misty Mountain IPA,American IPA,235,12.0,c8160b2b-3e43-4db3-bbd8-32f07a0a0060
0.05,,1131,Back East Ale,American Amber / Red Ale,235,12.0,c8160b2b-3e43-4db3-bbd8-32f07a0a0060
0.068,70.0,966,Topcutter India Pale Ale,American IPA,483,12.0,72b7fb2e-ebb2-4f46-8c85-758c6707d42a
0.044,38.0,965,Field 41 Pale Ale,American Pale Ale (APA),483,12.0,72b7fb2e-ebb2-4f46-8c85-758c6707d42a
0.07,,2593,Grapefruit Sculpin,American IPA,34,12.0,38871a7b-b304-459b-aa24-282321967048
0.038,40.0,2105,Even Keel,American IPA,34,12.0,38871a7b-b304-459b-aa24-282321967048
0.052,23.0,1401,Ballast Point Pale Ale,Kölsch,34,12.0,38871a7b-b304-459b-aa24-282321967048
0.07,75.0,1400,Big Eye India Pale Ale,American IPA,34,12.0,38871a7b-b304-459b-aa24-282321967048
0.046,,1019,Longfin Lager,Munich Helles Lager,34,12.0,38871a7b-b304-459b-aa24-282321967048
0.07,70.0,1018,Sculpin IPA,American IPA,34,12.0,38871a7b-b304-459b-aa24-282321967048
0.07,46.0,2618,Thai.p.a,American IPA,20,16.0,eaccdf46-40c0-4a05-a4b8-680f0e38f913
0.06,60.0,2005,Barrio Blanco,American IPA,251,12.0,bd4c1883-0fa4-4ebf-84a5-750eeccb7546
